count,avgPrice,vehicleType,year,power,mileage,brand,transmission,Damage
985,20.846,4,2012,180.6,72.431,1,0,0
661,24.271,4,2013,177,53.23,1,0,0
578,26.587,4,2014,185.3,32.18,1,0,0
362,33.254,4,2015,193.7,17.155,1,0,0
41,30.194,4,2016,164.4,5.61,1,0,0
2,2.35,4,2017,170,150,1,0,0
9,5.988,6,1991,163.1,137.222,1,0,0
17,7.955,6,1992,168.8,141.471,1,0,0
18,6.247,6,1993,181.3,150,1,0,0
20,5.449,6,1994,181,147.5,1,0,0
28,7.537,6,1995,202.3,137.143,1,0,0
37,6.468,6,1996,190.2,147.703,1,0,0
46,9.17,6,1997,200.1,138.587,1,0,0
64,20.994,6,1998,214.3,146.25,1,0,0
93,6.281,6,1999,211.6,146.398,1,0,0
87,5.909,6,2000,229,147.989,1,0,0
110,7.13,6,2001,222.3,147.727,1,0,0
177,7.506,6,2002,216.8,144.944,1,0,0
241,9.614,6,2003,241.4,145.809,1,0,0
294,10.319,6,2004,234,144.983,1,0,0
288,12.126,6,2005,249.6,143.802,1,0,0
429,13.897,6,2006,238.5,142.133,1,0,0
422,15.975,6,2007,243.1,136.765,1,0,0
504,16.942,6,2008,235.3,125.615,1,0,0
435,19.854,6,2009,274.3,121.299,1,0,0
261,24.204,6,2010,225.4,117.51,1,0,0
368,24.619,6,2011,210.6,96.563,1,0,0
304,31.033,6,2012,218.3,83.257,1,0,0
243,34.904,6,2013,213.4,60.638,1,0,0
206,36.143,6,2014,197.4,36.432,1,0,0
163,42.892,6,2015,209.4,16.871,1,0,0
27,58.107,6,2016,246.1,7.037,1,0,0
23,2.796,8,1991,140,141.522,1,0,0
25,2.968,8,1992,139.9,149,1,0,0
30,5.12,8,1993,144.5,143.333,1,0,0
44,2.238,8,1994,156.8,149.432,1,0,0
74,3.024,8,1995,164.2,147.703,1,0,0
125,1.939,8,1996,154.1,146.08,1,0,0
229,1.689,8,1997,162.9,148.603,1,0,0
318,1.827,8,1998,161,146.541,1,0,0
424,2.1,8,1999,163.3,146.745,1,0,0
550,2.636,8,2000,176.7,147.164,1,0,0
635,3.288,8,2001,171,146.787,1,0,0
692,3.886,8,2002,174.7,147.023,1,0,0
855,4.653,8,2003,175,146.509,1,0,0
826,5.735,8,2004,199.3,145.502,1,0,0
1050,7.434,8,2005,189.9,144.414,1,0,0
1243,8.66,8,2006,187.6,143.387,1,0,0
1175,9.661,8,2007,204.6,143.311,1,0,0
1086,11.629,8,2008,191.6,139.507,1,0,0
798,13.561,8,2009,187.5,133.183,1,0,0
777,15.703,8,2010,187.1,129.254,1,0,0
886,18.199,8,2011,190.2,113.493,1,0,0
587,21.965,8,2012,191.6,102.53,1,0,0
343,27.397,8,2013,189,77.624,1,0,0
297,28.826,8,2014,180.8,38.519,1,0,0
164,36.563,8,2015,200.3,20.366,1,0,0
12,45.69,8,2016,214,5.417,1,0,0
1,9,8,2017,105,80,1,0,0
5,7.97,10,1991,195.4,121,1,0,0
10,5.405,10,1992,175,145,1,0,0
21,5.414,10,1993,158.1,144.762,1,0,0
22,5.894,10,1994,147.6,134.545,1,0,0
25,4.135,10,1995,141,149,1,0,0
47,4.083,10,1996,133.7,144.787,1,0,0
46,2.833,10,1997,153.6,147.391,1,0,0
61,3.895,10,1998,145.5,146.23,1,0,0
77,3.943,10,1999,152.6,144.545,1,0,0
70,3.149,10,2000,130.5,146.786,1,0,0
102,4.607,10,2001,144.8,144.314,1,0,0
113,3.931,10,2002,136,146.018,1,0,0
108,3.797,10,2003,138.4,139.444,1,0,0
206,5.922,10,2004,138.9,143.859,1,0,0
287,6.701,10,2005,139.2,138.676,1,0,0
389,8.745,10,2006,148.3,134.55,1,0,0
356,10.209,10,2007,151.6,133.89,1,0,0
276,11.119,10,2008,152.7,127.047,1,0,0
202,11.821,10,2009,147.5,117.946,1,0,0
225,17.155,10,2010,153.2,110.578,1,0,0
316,18.744,10,2011,156.7,97.547,1,0,0
266,20.341,10,2012,163.5,82.425,1,0,0
183,21.649,10,2013,150.7,58.169,1,0,0
114,30.633,10,2014,153.2,35.219,1,0,0
109,34.231,10,2015,156.5,18.991,1,0,0
12,42.088,10,2016,164.3,5,1,0,0
1,5.5,2,1991,326,150,1,0,1
7,5.671,2,1992,186.4,142.857,1,0,1
6,2.683,2,1993,171.7,145.833,1,0,1
12,4.008,2,1994,174.4,110.833,1,0,1
8,3.586,2,1995,147.3,125.625,1,0,1
10,2.199,2,1996,141.9,141,1,0,1
21,1.999,2,1997,169.6,147.619,1,0,1
31,1.974,2,1998,178.6,148.065,1,0,1
45,2.319,2,1999,168,145.889,1,0,1
33,2.508,2,2000,153.6,134.697,1,0,1
